Valor;Peso;PPI;CPU Freq;M. Interna;C. Traseira;Bateria;Espessura
2357;135;424;1.35;16;13;2610;7.4
1749;125;233;1.3;4;3.15;1700;9.9
1916;110;312;1.2;8;13;2000;7.6
1315;118.5;233;1.3;4;3.15;1400;11
1749;125;233;1.3;4;3.15;1700;9.9
2137;150;401;2.3;16;16;2500;9.5
1238;134.1;233;1.2;8;2;1560;11.7
2137;150;401;2.3;16;16;2500;9.5
1315;118.5;233;1.3;4;3.15;1400;11
2580;145;432;2.5;16;16;2800;8.1
2438;162;277;1.5;32;13;4000;7.7
2006;161;200;1.4;4;5;2500;8.9
2174;140;294;1.3;16;13;2000;8.2
2744;174;524;2.7;32;16;3000;8.3
2580;145;432;2.5;16;16;2800;8.1
1612;141;294;1.2;8;8;2040;10
2258;150;441;2.3;16;13;2300;10
2938;168;534;1.875;32;12.3;3450;8.5
1612;141;294;1.2;8;8;2040;10
1238;134.1;233;1.2;8;2;1560;11.7
2438;162;277;1.5;32;13;4000;7.7
2392;147;282;1.4;32;13;2900;7.7
2977;152;577;2.3;32;12;3000;7.9
2744;174;524;2.7;32;16;3000;8.3
1942;139.2;469;2.15;16;16;2200;10.3
1390;146;220;1.2;8;5;1905;8.8
2006;161;200;1.4;4;5;2500;8.9
2938;168;534;1.875;32;12.3;3450;8.5
1390;146;220;1.2;8;5;1905;8.8
1950;118;187;1.3;8;8;2000;6.4
2258;150;441;2.3;16;13;2300;10
2977;152;577;2.3;32;12;3000;7.9
3316;144;428;1.75;32;20.7;2930;6.9
2654;151;386;1.55;32;16;3050;5.9
1421;120;233;1;4;2;1200;9.8
2654;151;386;1.55;32;16;3050;5.9
1942;139.2;469;2.15;16;16;2200;10.3
2124;489;224;2.26;16;5;7400;7.8
1777;174;178;1.3;4;5;2250;9.2
2392;147;282;1.4;32;13;2900;7.7
2124;489;224;2.26;16;5;7400;7.8
2087;147;294;1.3;32;8;2450;7.6
1843;133.5;218;1.3;8;5;1600;10.1
2087;147;294;1.3;32;8;2450;7.6
2859;169;515;1.875;64;12;3500;7.9
1989;131;294;1.3;16;13;2500;8.7
1421;120;233;1;4;2;1200;9.8
3316;144;428;1.75;32;20.7;2930;6.9
1843;133.5;218;1.3;8;5;1600;10.1
2685;168;386;1.8;32;21;3050;7.5
1741;145;245;1.2;8;5;2390;12.3
1347;260;170;1.3;4;2;2820;9.1
2859;169;515;1.875;64;12;3500;7.9
3658;168;428;2.45;64;12;3350;7.5
1984;154;294;1;8;8;3140;8.1
1777;174;178;1.3;4;5;2250;9.2
3658;168;428;2.45;64;12;3350;7.5
1984;154;294;1;8;8;3140;8.1
1989;131;294;1.3;16;13;2500;8.7
1741;145;245;1.2;8;5;2390;12.3
2824;175;401;1.53;32;21;3500;9.3
2746;158;401;1.83;64;13;4000;8.5
1347;260;170;1.3;4;3;2820;9.1
2323;97;306;1.7;16;8;2100;5.1
2685;168;386;1.8;32;21;3050;7.5
2824;175;401;1.53;32;21;3500;9.3
2746;158;401;1.83;64;13;4000;8.5
2044;310;283;2;8;5;4060;7.3
1734;128;245;1.2;4;8;1840;8.5
2323;97;306;1.7;16;8;2100;5.1
1734;128;245;1.2;4;8;1840;8.5
2276;116;294;1.5;16;13;2300;7.8
2044;310;283;2;8;5;4060;7.3
3116;153;401;1.5;64;13;3200;7.3
2571;97;306;1.2;16;8;2000;5.1
2276;116;294;1.5;16;13;2300;7.8
2571;97;306;1.2;16;8;2000;5.1
1396;279;170;1.2;4;3;3240;9
2714;156;401;1.35;16;13;2300;5.1
3005;171;515;1.8;32;16;3000;7.6
2714;156;401;1.35;16;13;2300;5.1
3005;171;515;1.8;32;16;3000;7.6
3837;167.8;541;1.875;128;16;3600;7.6
1646;404;160;1.2;8;5;4500;9
1396;279;170;1.2;4;3;3240;9
3837;167.8;541;1.875;128;16;3600;7.6
1302;127.9;235;1.2;8;2;1500;10.6
1302;127.9;235;1.2;8;2;1500;10.6
1646;404;160;1.2;8;5;4500;9
1831;154;294;1.2;8;13;2100;8.4
1831;154;294;1.2;8;13;2100;8.4
1810;393;189;1.2;16;3.15;4450;9.7
1511;134;221;1.2;8;5;1830;9.2
1810;393;189;1.2;16;3.15;4450;9.7
2562;187;367;1.7;16;13;2930;8.2
2562;187;367;1.7;16;13;2930;8.2
1522;160;220;1.2;2;8;2500;10.8
1511;134;221;1.2;8;5;1830;9.2
2343;158;432;2.5;16;16;2800;8.9
833;78.4;166;1;0;3;1100;12.9
